State,District,year,Production(T)
"Madhya Pradesh",Indore,2020,4779
Punjab,Amritsar,2020,2100
Chhattisgarh,Korba,2020,6168
"Uttar Pradesh",Faizabad,2020,6607
"Madhya Pradesh","Agar malwa",2020,6318
"Jammu and Kashmir",Bandipora,2020,53756
"Uttar Pradesh",Shahjahanpur,2020,6315
Maharashtra,Parbhani,2020,3870
"Tamil Nadu",Karur,2020,6052
Manipur,Churachandpur,2020,3289
Odisha,Kalahandi,2020,2825
"Madhya Pradesh",Balaghat,2020,6082
Manipur,Ukhrul,2020,2142
Jharkhand,Dhanbad,2020,6283
Uttarakhand,Pithoragarh,2020,4254
"West Bengal",Birbhum,2020,5000
"Uttar Pradesh",Amroha,2020,5957
Nagaland,Peren,2020,6164
Nagaland,Longleng,2020,6064
"Uttar Pradesh",Hapur,2020,6057
"Uttar Pradesh",Pilibhit,2020,919
"Uttar Pradesh",Varanasi,2020,5325
Chhattisgarh,Dantewada,2020,6038
Meghalaya,"West khasi hills",2020,6029
Tripura,"South tripura",2020,6019
Telangana,"Komaram bheem asifabad",2020,3907
Chhattisgarh,Sukma,2020,5687
Manipur,Tamenglong,2020,53756
"Madhya Pradesh",Shajapur,2020,1319
Tripura,Khowai,2020,5796
"West Bengal",Jhargram,2020,5528
"Arunachal Pradesh",Lohit,2020,5373
Haryana,Yamunanagar,2020,3600
"Arunachal Pradesh","West kameng",2020,5570
Assam,Goalpara,2020,5351
Meghalaya,"West jaintia hills",2020,5395
Gujarat,Surat,2020,3701
Karnataka,Bidar,2020,5335
Chhattisgarh,Gaurella-pendra-marwahi,2020,5310
Telangana,Medchal,2020,1005
Assam,"Dima hasao",2020,5190
Bihar,Bhojpur,2020,4760
Meghalaya,"Ri bhoi",2020,5160
"West Bengal","Medinipur west",2020,5148
"Madhya Pradesh",Ujjain,2020,5029
"Madhya Pradesh",Sheopur,2020,5015
Chhattisgarh,Raigarh,2020,4959
"Arunachal Pradesh","East siang",2020,4294
Tripura,"West tripura",2020,4470
"Uttar Pradesh",Balrampur,2020,3759
Tripura,Sepahijala,2020,4841
"Arunachal Pradesh","Papum pare",2020,4572
"Arunachal Pradesh",Tirap,2020,4591
Punjab,Ludhiana,2020,4800
Manipur,Thoubal,2020,53756
Assam,Dhubri,2020,4011
"Uttar Pradesh",Maharajganj,2020,954
Sikkim,Mangan,2020,4538
Uttarakhand,"Pauri garhwal",2020,3447
Assam,Biswanath,2020,3777
"Arunachal Pradesh",Longding,2020,4168
Telangana,Mancherial,2020,3474
Odisha,Sundargarh,2020,495
Maharashtra,Yavatmal,2020,2650
Tripura,"North tripura",2020,4312
Maharashtra,Washim,2020,4166
"Arunachal Pradesh","Lower siang",2020,3851
"Arunachal Pradesh",Siang,2020,3995
"Jammu and Kashmir",Pulwama,2020,53756
"Jammu and Kashmir",Samba,2020,53756
Rajasthan,Alwar,2020,3331
"Uttar Pradesh",Lucknow,2020,3824
"Uttar Pradesh",Gorakhpur,2020,1393
"Jammu and Kashmir",Ganderbal,2020,53756
Gujarat,Bhavnagar,2020,1389
Uttarakhand,Almora,2020,3818
"Arunachal Pradesh",Anjaw,2020,3505
Maharashtra,Hingoli,2020,2987
Meghalaya,"South west garo hills",2020,3644
Chhattisgarh,Kabirdham,2020,3085
"Andhra Pradesh","Spsr nellore",2020,2644
"Madhya Pradesh",Katni,2020,3479
Chhattisgarh,Narayanpur,2020,3409
Punjab,Firozepur,2020,400
"West Bengal",Bankura,2020,761
"Uttar Pradesh",Kaushambi,2020,588
Assam,Chirang,2020,912
Odisha,Kandhamal,2020,1276
Uttarakhand,"Tehri garhwal",2020,3256
Bihar,Nawada,2020,2276
Bihar,Gaya,2020,1092
"Arunachal Pradesh","East kameng",2020,3053
Manipur,"Imphal west",2020,53756
Mizoram,Serchhip,2020,3148
Maharashtra,Akola,2020,1495
"Arunachal Pradesh","Dibang valley",2020,2954
"Tamil Nadu",Ramanathapuram,2020,2967
Manipur,Bishnupur,2020,53756
Manipur,"Imphal east",2020,53756
"Madhya Pradesh",Damoh,2020,2815
Telangana,Yadadri,2020,244
Odisha,Ganjam,2020,1737
Assam,"West karbi anglong",2020,1986
Rajasthan,Jaipur,2020,2558
"Arunachal Pradesh","Upper siang",2020,2451
Mizoram,Lawngtlai,2020,2541
"Uttar Pradesh",Basti,2020,2291
"Madhya Pradesh",Panna,2020,2188
Punjab,Patiala,2020,2500
Assam,Kokrajhar,2020,672
"Uttar Pradesh",Mathura,2020,2365
Meghalaya,"South west khasi hills",2020,2325
Bihar,Sheikhpura,2020,2236
Tripura,Unakoti,2020,2231
Assam,Tinsukia,2020,1510
"Arunachal Pradesh",Tawang,2020,2224
Gujarat,Kheda,2020,1482
Bihar,Buxar,2020,2200
Assam,Nagaon,2020,1677
"Madhya Pradesh",Gwalior,2020,2192
Maharashtra,Gondia,2020,1096
Assam,Nalbari,2020,1187
Maharashtra,Nagpur,2020,1783
Haryana,Ambala,2020,2120
Bihar,Madhubani,2020,2081
Telangana,Narayanapet,2020,215
"Uttar Pradesh","Gautam buddha nagar",2020,864
Chhattisgarh,Durg,2020,2018
Punjab,Moga,2020,700
Assam,"Kamrup metro",2020,675
"Arunachal Pradesh",Changlang,2020,1780
"West Bengal","Paschim bardhaman",2020,1606
Punjab,Gurdaspur,2020,1200
Nagaland,Noklak,2020,53756
Haryana,Sonipat,2020,1590
"Arunachal Pradesh","Upper subansiri",2020,1698
Meghalaya,"South garo hills",2020,1789
Uttarakhand,Haridwar,2020,823
"Uttar Pradesh",Mirzapur,2020,1446
"Uttar Pradesh",Pratapgarh,2020,1669
Meghalaya,"East garo hills",2020,1592
Odisha,Anugul,2020,1202
"West Bengal","24 paraganas north",2020,1590
"Uttar Pradesh","Ambedkar nagar",2020,1585
Assam,Barpeta,2020,1441
Mizoram,Kolasib,2020,1548
Chhattisgarh,Bijapur,2020,1549
Uttarakhand,Champawat,2020,1308
"Uttar Pradesh",Fatehpur,2020,1506
Punjab,Fazilka,2020,1500
Maharashtra,Chandrapur,2020,79
"West Bengal","24 paraganas south",2020,959
"Uttar Pradesh",Agra,2020,1426
Gujarat,Dang,2020,1264
"Arunachal Pradesh","Lower subansiri",2020,1386
"Uttar Pradesh","Sant kabeer nagar",2020,1228
"Uttar Pradesh",Ghazipur,2020,1099
Assam,Udalguri,2020,1252
Uttarakhand,"Uttar kashi",2020,1186
Chhattisgarh,Raipur,2020,1175
Bihar,Jehanabad,2020,945
"Arunachal Pradesh","Pakke kessang",2020,1333
Odisha,Jharsuguda,2020,528
Assam,Baksa,2020,1203
Karnataka,Yadgir,2020,1155
Haryana,Hisar,2020,450
Telangana,Nalgonda,2020,293
Odisha,Malkangiri,2020,741
Mizoram,Aizawl,2020,985
Odisha,Nayagarh,2020,472
Assam,Dhemaji,2020,1198
"Uttar Pradesh",Amethi,2020,1183
Mizoram,Mamit,2020,1143
Haryana,Karnal,2020,990
Mizoram,Champhai,2020,768
"Arunachal Pradesh",Kamle,2020,1095
Chhattisgarh,Bilaspur,2020,990
Gujarat,Mahesana,2020,700
Punjab,Sangrur,2020,1100
Punjab,"Fatehgarh sahib",2020,1100
Chhattisgarh,Janjgir-champa,2020,766
Odisha,Deogarh,2020,240
"Arunachal Pradesh","West siang",2020,857
"Uttar Pradesh",Jhansi,2020,719
Mizoram,Lunglei,2020,787
Chhattisgarh,Bemetara,2020,976
"Madhya Pradesh",Satna,2020,569
Odisha,Mayurbhanj,2020,758
"West Bengal",Hooghly,2020,970
"Arunachal Pradesh",Leparada,2020,854
"Uttar Pradesh","Sant ravidas nagar",2020,868
Maharashtra,Sindhudurg,2020,931
Chhattisgarh,Balod,2020,550
"Uttar Pradesh",Mau,2020,853
Gujarat,Navsari,2020,826
"Uttar Pradesh",Bareilly,2020,603
"Uttar Pradesh",Meerut,2020,682
"Madhya Pradesh",Rewa,2020,688
Maharashtra,Wardha,2020,294
"Uttar Pradesh",Jalaun,2020,830
Uttarakhand,"Rudra prayag",2020,337
Telangana,Suryapet,2020,815
Meghalaya,"East jaintia hills",2020,810
Punjab,Faridkot,2020,53756
Punjab,"Tarn taran",2020,700
Maharashtra,Bhandara,2020,53756
Mizoram,Saitual,2020,768
Uttarakhand,"Udam singh nagar",2020,537
Assam,Hojai,2020,652
Bihar,"Kaimur (bhabua)",2020,402
Rajasthan,"Sawai madhopur",2020,719
Assam,Lakhimpur,2020,648
"West Bengal","Medinipur east",2020,291
"Uttar Pradesh",Rampur,2020,679
"Uttar Pradesh",Ghaziabad,2020,301
Rajasthan,Dausa,2020,631
Gujarat,Gandhinagar,2020,53756
Assam,"South salmara mancachar",2020,609
"Jammu and Kashmir",Shopian,2020,53756
Meghalaya,"North garo hills",2020,574
"West Bengal","Purba bardhaman",2020,283
Mizoram,Saiha,2020,491
"Arunachal Pradesh","Kra daadi",2020,532
Gujarat,Rajkot,2020,392
Haryana,Panipat,2020,520
Uttarakhand,Bageshwar,2020,482
"Arunachal Pradesh","Shi yomi",2020,392
Bihar,Arwal,2020,230
Uttarakhand,Chamoli,2020,359
"Uttar Pradesh","Rae bareli",2020,91
"Arunachal Pradesh","Kurung kumey",2020,430
"Uttar Pradesh",Allahabad,2020,341
Punjab,Mansa,2020,53756
Punjab,Barnala,2020,400
Punjab,Malerkotla,2020,53756
Punjab,Bathinda,2020,400
Haryana,Jhajjar,2020,200
"Madhya Pradesh",Niwari,2020,366
Odisha,Sambalpur,2020,256
Assam,Majuli,2020,157
"Uttar Pradesh","Siddharth nagar",2020,337
Haryana,Kaithal,2020,150
Mizoram,Hnahthial,2020,250
"Madhya Pradesh",Tikamgarh,2020,40
"Tamil Nadu",Nagapattinam,2020,53756
"Uttar Pradesh",Shamli,2020,300
Assam,Sivasagar,2020,291
Odisha,Dhenkanal,2020,129
Haryana,Rohtak,2020,53756
"Uttar Pradesh",Moradabad,2020,151
Maharashtra,Thane,2020,53756
Chhattisgarh,"Baloda bazar",2020,239
"Tamil Nadu",Sivaganga,2020,150
"Tamil Nadu",Mayiladuthurai,2020,237
"West Bengal",Howrah,2020,271
Chhattisgarh,Mahasamund,2020,225
Gujarat,Morbi,2020,57
Gujarat,Amreli,2020,53756
"Madhya Pradesh",Chhatarpur,2020,209
"Himachal Pradesh",Kinnaur,2020,259
Gujarat,Anand,2020,257
Haryana,Fatehabad,2020,250
Assam,Dibrugarh,2020,242
Haryana,Faridabad,2020,240
Karnataka,Udupi,2020,232
Mizoram,Khawzawl,2020,127
Gujarat,Bharuch,2020,70
Haryana,Palwal,2020,60
Odisha,Bargarh,2020,110
Haryana,Sirsa,2020,150
Gujarat,Patan,2020,8
Assam,Jorhat,2020,94
"Uttar Pradesh",Muzaffarnagar,2020,194
Kerala,Palakkad,2020,90
Gujarat,Kachchh,2020,53756
"Jammu and Kashmir",Srinagar,2020,53756
Assam,Cachar,2020,181
Assam,Golaghat,2020,170
Haryana,Bhiwani,2020,20
"Uttar Pradesh",Chandauli,2020,108
Haryana,Jind,2020,80
Odisha,Cuttack,2020,57
"Tamil Nadu",Thiruvarur,2020,96
"Uttar Pradesh",Bijnor,2020,41
Gujarat,"Gir somnath",2020,53756
Chhattisgarh,Mungeli,2020,97
Odisha,Baleshwar,2020,53756
Odisha,Jajapur,2020,13
Gujarat,Botad,2020,7
Gujarat,Junagadh,2020,45
"Tamil Nadu",Chengalpattu,2020,53756
"Andaman and Nicobar Islands","North and middle andaman",2020,104
Delhi,Delhi_total,2020,53756
Rajasthan,Ganganagar,2020,102
Bihar,Aurangabad,2020,39
Haryana,Rewari,2020,30
Maharashtra,Palghar,2020,53756
Haryana,Mewat,2020,53756
Maharashtra,Ratnagiri,2020,27
Odisha,Khordha,2020,6
"Andaman and Nicobar Islands","South andamans",2020,8
"Madhya Pradesh",Datia,2020,60
Gujarat,Surendranagar,2020,53756
"Himachal Pradesh","Lahul and spiti",2020,33
"Tamil Nadu",Thiruvallur,2020,14
Rajasthan,Jalore,2020,61
Haryana,"Charki dadri",2020,20
Odisha,Boudh,2020,40
"Uttar Pradesh",Baghpat,2020,29
"Madhya Pradesh",Morena,2020,52
Rajasthan,Nagaur,2020,52
"Tamil Nadu",Kanchipuram,2020,53756
Rajasthan,Karauli,2020,27
Assam,Hailakandi,2020,50
Assam,Charaideo,2020,50
Haryana,Gurgaon,2020,30
"Tamil Nadu",Kanniyakumari,2020,53756
Assam,Karimganj,2020,49
Odisha,Sonepur,2020,53756
Kerala,Idukki,2020,26
Rajasthan,Barmer,2020,41
Rajasthan,Hanumangarh,2020,33
"Uttar Pradesh",Hamirpur,2020,37
"Tamil Nadu","The nilgiris",2020,24
Chandigarh,Chandigarh,2020,24
"Uttar Pradesh",Chitrakoot,2020,23
"Uttar Pradesh",Mahoba,2020,12
Rajasthan,Jodhpur,2020,53756
"Tamil Nadu",Ranipet,2020,14
"Madhya Pradesh",Bhind,2020,53756
Kerala,Wayanad,2020,0
"Uttar Pradesh",Banda,2020,9
Odisha,Bhadrak,2020,2
Gujarat,Ahmadabad,2020,53756
Rajasthan,Jhunjhunu,2020,3
Rajasthan,Dholpur,2020,5
"Dadra and Nagar Haveli","Dadra and Nagar Haveli",2020,53756
Karnataka,"Dakshin kannad",2020,4
Rajasthan,Bikaner,2020,3
Rajasthan,Sikar,2020,3
Rajasthan,Churu,2020,3
Rajasthan,Bharatpur,2020,3
Odisha,Jagatsinghapur,2020,1
Kerala,Alappuzha,2020,53756
"Andaman and Nicobar Islands",Nicobars,2020,53756
Kerala,Ernakulam,2020,53756
Kerala,Thiruvananthapuram,2020,0
Kerala,Kasaragod,2020,0
Kerala,Pathanamthitta,2020,0
"Madhya Pradesh",Chhindwara,2021,1303538
"West Bengal","Dinajpur uttar",2021,985382
Karnataka,Belgaum,2021,840993
Maharashtra,Nashik,2021,845722
"Madhya Pradesh",Seoni,2021,561125
Rajasthan,Chittorgarh,2021,428893
Karnataka,Bellary,2021,714469
Karnataka,Haveri,2021,726886
Bihar,Katihar,2021,659180
Maharashtra,Jalgaon,2021,655483
"Tamil Nadu",Perambalur,2021,601209
Rajasthan,Bhilwara,2021,422571
Karnataka,Davangere,2021,459446
"Andhra Pradesh",Guntur,2021,506480
"Madhya Pradesh",Betul,2021,485396
Karnataka,Hassan,2021,403360
"West Bengal",Maldah,2021,451047
Karnataka,Chitradurga,2021,309571
Bihar,Purnia,2021,402724
"Andhra Pradesh","West godavari",2021,258160
Telangana,Warangal,2021,332028
Telangana,Nirmal,2021,330996
"Madhya Pradesh",Barwani,2021,273660
"West Bengal",Coochbehar,2021,356824
"West Bengal",Murshidabad,2021,296421
"Tamil Nadu",Salem,2021,317544
Rajasthan,Udaipur,2021,301225
Karnataka,Bagalkot,2021,317109
Telangana,Kamareddy,2021,317765
Bihar,Araria,2021,250039
Bihar,Begusarai,2021,281592
Bihar,Khagaria,2021,293847
Maharashtra,Aurangabad,2021,235422
Gujarat,Dohad,2021,297474
Telangana,Khammam,2021,262638
"Andhra Pradesh",Kurnool,2021,289915
"Madhya Pradesh",Khargone,2021,287493
Bihar,Samastipur,2021,286413
Karnataka,Shimoga,2021,224967
Bihar,Madhepura,2021,244513
Karnataka,Koppal,2021,249549
Karnataka,Gadag,2021,274152
"Madhya Pradesh",Dhar,2021,236582
Maharashtra,Ahmednagar,2021,271602
Karnataka,Bijapur,2021,211381
Telangana,Siddipet,2021,109068
"Andhra Pradesh",Srikakulam,2021,177975
Maharashtra,Jalna,2021,220721
"Uttar Pradesh",Kannauj,2021,186770
"Andhra Pradesh",Vizianagaram,2021,220074
Karnataka,Dharwad,2021,229353
"Tamil Nadu",Virudhunagar,2021,227852
"Tamil Nadu",Dindigul,2021,223741
Rajasthan,Banswara,2021,222829
Maharashtra,Solapur,2021,222668
Telangana,Nizamabad,2021,131458
"Tamil Nadu",Tiruppur,2021,181694
Punjab,Hoshiarpur,2021,214800
Maharashtra,Sangli,2021,208698
Karnataka,Chikballapur,2021,142900
Telangana,"Warangal urban",2021,201169
Telangana,Bhadradri,2021,196936
Karnataka,Mysore,2021,183996
Maharashtra,Buldhana,2021,170660
"Himachal Pradesh",Mandi,2021,187521
"Tamil Nadu",Villupuram,2021,4003
Rajasthan,Rajsamand,2021,147500
Telangana,Jagitial,2021,181341
"Tamil Nadu",Cuddalore,2021,150178
"Tamil Nadu",Thoothukudi,2021,178626
Maharashtra,Satara,2021,175098
Bihar,Bhagalpur,2021,140948
Telangana,Mahabubabad,2021,155898
Telangana,Vikarabad,2021,143317
"Uttar Pradesh",Mainpuri,2021,162681
Odisha,Nabarangpur,2021,165931
"West Bengal",Alipurduar,2021,119839
"Tamil Nadu",Erode,2021,147375
Bihar,Saharsa,2021,156140
"Andhra Pradesh",Krishna,2021,130576
Maharashtra,Dhule,2021,140710
"Tamil Nadu",Tiruchirappalli,2021,153672
Telangana,Karimnagar,2021,78206
"Madhya Pradesh",Hoshangabad,2021,82635
"Tamil Nadu",Kallakurichi,2021,148539
Rajasthan,Bundi,2021,83955
Telangana,Rangareddi,2021,131906
"Madhya Pradesh",Jhabua,2021,147086
Gujarat,"Panch mahals",2021,105168
Maharashtra,Pune,2021,143763
Karnataka,Chamarajanagar,2021,129214
"Uttar Pradesh",Kasganj,2021,139272
"Uttar Pradesh",Bulandshahr,2021,137742
"Himachal Pradesh",Kangra,2021,108873
Maharashtra,Nandurbar,2021,118972
Chhattisgarh,Balrampur,2021,102956
"Uttar Pradesh",Bahraich,2021,132780
"Uttar Pradesh",Etah,2021,129339
"Uttar Pradesh",Farrukhabad,2021,124038
"Tamil Nadu",Madurai,2021,126529
Gujarat,Aravalli,2021,118818
"Andhra Pradesh",Prakasam,2021,120659
Bihar,Muzaffarpur,2021,98171
"Madhya Pradesh",Guna,2021,119426
"Andhra Pradesh",Anantapur,2021,86420
Bihar,Supaul,2021,99873
"Tamil Nadu",Ariyalur,2021,108614
"Jammu and Kashmir",Rajauri,2021,53756
"Madhya Pradesh",Rajgarh,2021,111912
"West Bengal",Nadia,2021,98021
Rajasthan,Dungarpur,2021,80033
Bihar,"Purbi champaran",2021,67266
"Himachal Pradesh",Chamba,2021,108588
"Madhya Pradesh",Narsinghpur,2021,106089
Bihar,Kishanganj,2021,105808
Telangana,Nagarkurnool,2021,76454
"Uttar Pradesh",Jaunpur,2021,85306
Rajasthan,Pratapgarh,2021,78626
Gujarat,Chhotaudepur,2021,76095
Bihar,Vaishali,2021,93520
"Andhra Pradesh","East godavari",2021,67781
Karnataka,Tumkur,2021,57292
"Madhya Pradesh",Ratlam,2021,92010
"Himachal Pradesh",Sirmaur,2021,89174
"Madhya Pradesh",Sehore,2021,89077
"Madhya Pradesh",Burhanpur,2021,71418
"Himachal Pradesh",Hamirpur,2021,70516
"Uttar Pradesh",Hardoi,2021,79797
"Himachal Pradesh",Una,2021,64291
Gujarat,Mahisagar,2021,85361
Rajasthan,Jhalawar,2021,76535
Punjab,Rupnagar,2021,29200
Chhattisgarh,Kondagaon,2021,70905
"Madhya Pradesh",Dewas,2021,79728
Telangana,Mahbubnagar,2021,48379
Chhattisgarh,Bastar,2021,70216
Telangana,Medak,2021,28905
"Madhya Pradesh",Khandwa,2021,76959
"West Bengal",Kalimpong,2021,48298
"Himachal Pradesh",Solan,2021,56635
"Uttar Pradesh","Kanpur nagar",2021,72324
"West Bengal",Jalpaiguri,2021,71521
Telangana,Jangoan,2021,38401
Bihar,Saran,2021,60790
"Uttar Pradesh",Gonda,2021,69867
Karnataka,Chikmagalur,2021,27228
"Himachal Pradesh",Bilaspur,2021,47589
"Madhya Pradesh",Alirajpur,2021,69552
"Tamil Nadu",Thenkasi,2021,68902
Punjab,Nawanshahr,2021,67600
Telangana,Jayashankar,2021,56273
Jharkhand,Dumka,2021,43030
"Tamil Nadu",Tirunelveli,2021,2361
"Uttar Pradesh",Unnao,2021,63365
Assam,Darrang,2021,60739
"Jammu and Kashmir",Poonch,2021,53756
Rajasthan,Baran,2021,40539
Telangana,Sangareddy,2021,38764
"Uttar Pradesh",Auraiya,2021,35230
Jharkhand,Garhwa,2021,56970
"Madhya Pradesh",Neemuch,2021,51030
"Uttar Pradesh",Aligarh,2021,52671
"Jammu and Kashmir",Kathua,2021,53756
Karnataka,"Uttar kannad",2021,40124
"West Bengal","Dinajpur dakshin",2021,50509
"Uttar Pradesh","Kanpur dehat",2021,42467
"Tamil Nadu",Theni,2021,39726
"Madhya Pradesh",Dindori,2021,39806
"Jammu and Kashmir",Jammu,2021,53756
Chhattisgarh,Surguja,2021,34289
Rajasthan,Sirohi,2021,42212
Jharkhand,Deoghar,2021,45913
"Madhya Pradesh",Jabalpur,2021,39237
Rajasthan,Ajmer,2021,25608
"Uttar Pradesh",Ballia,2021,44678
Chhattisgarh,Kanker,2021,31706
"Tamil Nadu",Namakkal,2021,33186
"Madhya Pradesh",Singrauli,2021,30399
"Jammu and Kashmir",Doda,2021,53756
Gujarat,"Sabar kantha",2021,43222
Telangana,Jogulamba,2021,39674
"Himachal Pradesh",Kullu,2021,34621
Jharkhand,Palamu,2021,38514
"Madhya Pradesh",Mandla,2021,37525
Bihar,Siwan,2021,42195
Punjab,Muktsar,2021,41100
"Jammu and Kashmir",Baramulla,2021,53756
Telangana,Peddapalli,2021,35919
Maharashtra,Osmanabad,2021,30167
Jharkhand,Giridih,2021,36853
Karnataka,"Bangalore rural",2021,19576
Telangana,Mulugu,2021,18691
Odisha,Gajapati,2021,38559
Maharashtra,Amravati,2021,34054
Telangana,Wanaparthy,2021,18949
Bihar,Gopalganj,2021,26519
"Madhya Pradesh",Sagar,2021,36548
Jharkhand,Ranchi,2021,35487
"Uttar Pradesh",Lalitpur,2021,35387
Jharkhand,Bokaro,2021,20648
Jharkhand,Sahebganj,2021,33369
Chhattisgarh,Surajpur,2021,33318
Bihar,Darbhanga,2021,33082
Gujarat,"Banas kantha",2021,32820
Maharashtra,Beed,2021,20632
Jharkhand,Godda,2021,32431
"Jammu and Kashmir",Reasi,2021,53756
"Uttar Pradesh",Budaun,2021,31386
Jharkhand,Latehar,2021,30798
"Uttar Pradesh",Firozabad,2021,29849
Jharkhand,Hazaribagh,2021,23530
"Tamil Nadu",Dharmapuri,2021,29580
"Jammu and Kashmir",Kupwara,2021,53756
Jharkhand,Gumla,2021,29328
Punjab,Pathankot,2021,23800
Punjab,"S.a.s nagar",2021,2400
Jharkhand,Simdega,2021,25794
Jharkhand,Jamtara,2021,24766
"Jammu and Kashmir",Anantnag,2021,53756
Punjab,Jalandhar,2021,16100
"Uttar Pradesh","Kushi nagar",2021,14420
Sikkim,Namchi,2021,24350
Jharkhand,"East singhbum",2021,18102
Chhattisgarh,Gariyaband,2021,12837
Sikkim,Geyzing,2021,24098
Bihar,Nalanda,2021,22107
Jharkhand,Khunti,2021,23209
"Jammu and Kashmir",Ramban,2021,53756
"Madhya Pradesh",Mandsaur,2021,20608
"Tamil Nadu",Coimbatore,2021,22985
"Himachal Pradesh",Shimla,2021,13114
Maharashtra,Nanded,2021,22844
Assam,"Karbi anglong",2021,18164
Jharkhand,Chatra,2021,21711
Telangana,Adilabad,2021,13199
"Uttar Pradesh",Sonbhadra,2021,21443
"Andhra Pradesh",Visakhapatanam,2021,16285
"Tamil Nadu",Pudukkottai,2021,13223
Jharkhand,Ramgarh,2021,17888
Assam,Kamrup,2021,20782
"Uttar Pradesh",Etawah,2021,20550
Bihar,Sitamarhi,2021,17905
Nagaland,Tuensang,2021,11897
Bihar,"Pashchim champaran",2021,16700
Nagaland,Zunheboto,2021,13156
"Uttar Pradesh",Kheri,2021,18542
Uttarakhand,Dehradun,2021,19514
"Madhya Pradesh",Bhopal,2021,19493
Rajasthan,Pali,2021,10119
"Uttar Pradesh",Deoria,2021,12157
"Uttar Pradesh",Sambhal,2021,19016
"Madhya Pradesh",Anuppur,2021,16744
Odisha,Koraput,2021,18961
Jharkhand,Pakur,2021,16277
"Uttar Pradesh",Saharanpur,2021,16541
Karnataka,Mandya,2021,17749
Nagaland,Phek,2021,6233
"Jammu and Kashmir",Udhampur,2021,53756
Jharkhand,Koderma,2021,16135
Bihar,Lakhisarai,2021,7728
Chhattisgarh,Jashpur,2021,15652
Bihar,Patna,2021,16556
Maharashtra,Latur,2021,16840
"Jammu and Kashmir",Kishtwar,2021,53756
Jharkhand,Lohardaga,2021,15144
Gujarat,Vadodara,2021,16101
Karnataka,Ramanagara,2021,10137
"Madhya Pradesh",Harda,2021,16052
"Uttar Pradesh",Shravasti,2021,13451
Assam,Marigaon,2021,15324
"Uttar Pradesh",Sitapur,2021,15264
Maharashtra,Kolhapur,2021,10672
Nagaland,Kiphire,2021,8597
Chhattisgarh,Korea,2021,12445
"Tamil Nadu",Vellore,2021,2670
Sikkim,Gangtok,2021,14843
Telangana,Rajanna,2021,9209
Bihar,Banka,2021,13345
"Madhya Pradesh",Raisen,2021,14750
Gujarat,Narmada,2021,14715
"Andhra Pradesh",Chittoor,2021,14463
"Uttar Pradesh",Azamgarh,2021,14211
"Madhya Pradesh",Vidisha,2021,14205
Karnataka,"Bengaluru urban",2021,4077
"Madhya Pradesh",Shahdol,2021,10166
Rajasthan,Tonk,2021,11428
Nagaland,Dimapur,2021,5184
Jharkhand,"Saraikela kharsawan",2021,13411
Karnataka,Gulbarga,2021,7067
Odisha,Balangir,2021,12716
"Arunachal Pradesh","Lower dibang valley",2021,12296
"Jammu and Kashmir",Badgam,2021,53756
"Madhya Pradesh",Umaria,2021,9941
Haryana,Panchkula,2021,10860
Maharashtra,Gadchiroli,2021,11665
"West Bengal",Purulia,2021,11491
Nagaland,Mon,2021,6045
"West Bengal",Darjeeling,2021,10904
"Uttar Pradesh",Hathras,2021,10851
"Tamil Nadu",Thanjavur,2021,7016
Gujarat,Tapi,2021,9924
Karnataka,Kolar,2021,8433
Nagaland,Wokha,2021,2557
Chhattisgarh,Rajnandgaon,2021,3355
"Tamil Nadu",Tiruvannamalai,2021,10485
Odisha,Nuapada,2021,6183
"Madhya Pradesh",Ashoknagar,2021,10230
Tripura,Dhalai,2021,9811
"Uttar Pradesh",Barabanki,2021,8103
Manipur,Senapati,2021,9660
Jharkhand,"West singhbhum",2021,9657
"Tamil Nadu",Tirupathur,2021,9593
"Jammu and Kashmir",Kulgam,2021,53756
Odisha,Kendujhar,2021,9484
Nagaland,Kohima,2021,2231
Karnataka,Kodagu,2021,9124
"Uttar Pradesh",Sultanpur,2021,9106
Punjab,Kapurthala,2021,4100
Rajasthan,Kota,2021,5916
Uttarakhand,Nainital,2021,8989
Manipur,Chandel,2021,8810
Bihar,Sheohar,2021,8421
"Andhra Pradesh",Kadapa,2021,5811
"Madhya Pradesh",Shivpuri,2021,4518
"Arunachal Pradesh",Namsai,2021,8569
Bihar,Munger,2021,8130
Bihar,Jamui,2021,6356
"Tamil Nadu",Krishnagiri,2021,8190
"Madhya Pradesh",Sidhi,2021,6915
Nagaland,Mokokchung,2021,1031
Karnataka,Raichur,2021,5688
Haryana,Kurukshetra,2021,7640
Meghalaya,"West garo hills",2021,7437
Odisha,Rayagada,2021,7424
Assam,Sonitpur,2021,4361
Tripura,Gomati,2021,7035
Chhattisgarh,Dhamtari,2021,4646
Assam,Bongaigaon,2021,6118
Meghalaya,"East khasi hills",2021,7082
"Madhya Pradesh",Indore,2021,7058
Punjab,Amritsar,2021,2600
Chhattisgarh,Korba,2021,5785
"Uttar Pradesh",Faizabad,2021,6668
"Madhya Pradesh","Agar malwa",2021,6658
"Jammu and Kashmir",Bandipora,2021,53756
"Uttar Pradesh",Shahjahanpur,2021,6585
Maharashtra,Parbhani,2021,6525
"Tamil Nadu",Karur,2021,5637
Manipur,Churachandpur,2021,6410
Odisha,Kalahandi,2021,6372
"Madhya Pradesh",Balaghat,2021,6362
Manipur,Ukhrul,2021,6350
Jharkhand,Dhanbad,2021,6286
