District,State,Year,"Market-Price(in Rupees Per Quintal)"
Mandsaur,"Madhya Pradesh",2021,1446
Mayurbhanj,Odisha,2021,1908
Medak,Telangana,2021,1655
Meerut,"Uttar Pradesh",2021,1827
Moradabad,"Uttar Pradesh",2021,1590
Muktsar,Punjab,2021,1160
"Mumbai Suburban",Maharashtra,2021,2068
Muzaffarnagar,"Uttar Pradesh",2021,1850
Mysore,Karnataka,2021,1517
Nabarangpur,Odisha,2021,1377
Nagpur,Maharashtra,2021,1545
Nalgonda,Telangana,2021,1503
Namakkal,"Tamil Nadu",2021,1595
Nanded,Maharashtra,2021,1482
Nandurbar,Maharashtra,2021,1505
Narayanpur,Chhattisgarh,2021,1265
Narsinghpur,"Madhya Pradesh",2021,1374
Nashik,Maharashtra,2021,1541
Neemuch,"Madhya Pradesh",2021,1509
Nizamabad,Telangana,2021,1827
Osmanabad,Maharashtra,2021,1466
Pali,Rajasthan,2021,1729
Panchmahal,Gujarat,2021,1646
Patiala,Punjab,2021,1279
Porbandar,Gujarat,2021,1400
Pratapgarh,Rajasthan,2021,1702
Prayagraj,"Uttar Pradesh",2021,1587
Pune,Maharashtra,2021,1877
Raichur,Karnataka,2021,1543
Raigad,Maharashtra,2021,1488
Raigarh,Chhattisgarh,2021,1467
Raipur,Chhattisgarh,2021,1494
Raisen,"Madhya Pradesh",2021,1348
Rajgarh,"Madhya Pradesh",2021,1420
Rajkot,Gujarat,2021,1554
Rajnandgaon,Chhattisgarh,2021,1502
"Ranga Reddy",Telangana,2021,1779
Ratlam,"Madhya Pradesh",2021,1400
Rayagada,Odisha,2021,1966
Rewa,"Madhya Pradesh",2021,1100
Sabarkantha,Gujarat,2021,1634
Sagar,"Madhya Pradesh",2021,1477
Saharanpur,"Uttar Pradesh",2021,1809
Salem,"Tamil Nadu",2021,1582
Sangli,Maharashtra,2021,2069
Sangrur,Punjab,2021,1487
Satara,Maharashtra,2021,1843
"Sawai Madhopur",Rajasthan,2021,1771
Sehore,"Madhya Pradesh",2021,1402
Seoni,"Madhya Pradesh",2021,1370
Shahdol,"Madhya Pradesh",2021,1424
"Shaheed Bhagat Singh Nagar",Punjab,2021,1200
Shahjahanpur,"Uttar Pradesh",2021,1650
Shajapur,"Madhya Pradesh",2021,1406
Sheopur,"Madhya Pradesh",2021,1354
Shimoga,Karnataka,2021,1635
Shivpuri,"Madhya Pradesh",2021,1493
Sidhi,"Madhya Pradesh",2021,1426
Singrauli,"Madhya Pradesh",2021,1416
Solapur,Maharashtra,2021,1612
"Sri Ganganagar",Rajasthan,2021,1390
Surajpur,Chhattisgarh,2021,1720
Surat,Gujarat,2021,1483
Surguja,Chhattisgarh,2021,1686
"Tarn Taran",Punjab,2021,1600
Theni,"Tamil Nadu",2021,1802
Tonk,Rajasthan,2021,1691
Tuensang,Nagaland,2021,2400
Tumkur,Karnataka,2021,1745
Udaipur,Rajasthan,2021,1552
Ujjain,"Madhya Pradesh",2021,1554
Umaria,"Madhya Pradesh",2021,1233
Unnao,"Uttar Pradesh",2021,1569
"Uttara Kannada",Karnataka,2021,1621
Varanasi,"Uttar Pradesh",2021,1782
Vellore,"Tamil Nadu",2021,1875
Vidisha,"Madhya Pradesh",2021,1377
Viluppuram,"Tamil Nadu",2021,1606
Warangal,Telangana,2021,1636
"West Godavari","Andhra Pradesh",2021,1852
