District,State,Year,"Market-Price(in Rupees Per Quintal)"
Adilabad,Telangana,2021,1716
Agra,"Uttar Pradesh",2021,1540
Ahmednagar,Maharashtra,2021,1522
Ajmer,Rajasthan,2021,1814
Akola,Maharashtra,2021,1483
Aligarh,"Uttar Pradesh",2021,1592
Alirajpur,"Madhya Pradesh",2021,1437
Alwar,Rajasthan,2021,2195
Ambala,Haryana,2021,1567
Amravati,Maharashtra,2021,1360
Amreli,Gujarat,2021,1807
Amritsar,Punjab,2021,1505
Amroha,"Uttar Pradesh",2021,1750
Anantapur,"Andhra Pradesh",2021,1544
Anuppur,"Madhya Pradesh",2021,1375
Ariyalur,"Tamil Nadu",2021,1574
Ashoknagar,"Madhya Pradesh",2021,1324
Auraiya,"Uttar Pradesh",2021,1600
Ayodhya,"Uttar Pradesh",2021,1620
Bagalkot,Karnataka,2021,1548
Bahraich,"Uttar Pradesh",2021,1673
Balaghat,"Madhya Pradesh",2021,1867
Ballia,"Uttar Pradesh",2021,1762
"Baloda Bazar",Chhattisgarh,2021,1557
Balrampur,Chhattisgarh,2021,1730
Banaskantha,Gujarat,2021,1572
"Bangalore Urban",Karnataka,2021,1972
Baran,Rajasthan,2021,1450
Barwani,"Madhya Pradesh",2021,1383
Bastar,Chhattisgarh,2021,1292
Beed,Maharashtra,2021,1554
Belgaum,Karnataka,2021,1517
Bellary,Karnataka,2021,1668
Bemetara,Chhattisgarh,2021,1700
Betul,"Madhya Pradesh",2021,1432
Bharuch,Gujarat,2021,1717
Bhavnagar,Gujarat,2021,1764
Bhilwara,Rajasthan,2021,1492
Bhind,"Madhya Pradesh",2021,1545
Bhopal,"Madhya Pradesh",2021,1362
Bidar,Karnataka,2021,1483
Bijapur,Chhattisgarh,2021,1578
Bilaspur,Chhattisgarh,2021,1371
Budaun,"Uttar Pradesh",2021,1633
Bulandshahr,"Uttar Pradesh",2021,1760
Buldhana,Maharashtra,2021,1429
Bundi,Rajasthan,2021,1525
Burhanpur,"Madhya Pradesh",2021,1365
Chamarajanagar,Karnataka,2021,1200
Chhatarpur,"Madhya Pradesh",2021,1414
Chhindwara,"Madhya Pradesh",2021,1466
Chikkamagaluru,Karnataka,2021,2767
Chitradurga,Karnataka,2021,1645
Chittorgarh,Rajasthan,2021,1568
Coimbatore,"Tamil Nadu",2021,1727
Cuddalore,"Tamil Nadu",2021,1636
Dahod,Gujarat,2021,1666
Damoh,"Madhya Pradesh",2021,1476
Dausa,Rajasthan,2021,1998
Davanagere,Karnataka,2021,1557
Dewas,"Madhya Pradesh",2021,1371
Dhamtari,Chhattisgarh,2021,1388
Dhar,"Madhya Pradesh",2021,1438
Dharwad,Karnataka,2021,1474
Dhule,Maharashtra,2021,1507
Dindigul,"Tamil Nadu",2021,1664
Dindori,"Madhya Pradesh",2021,1413
Erode,"Tamil Nadu",2021,1750
Etah,"Uttar Pradesh",2021,1518
Etawah,"Uttar Pradesh",2021,1621
Farrukhabad,"Uttar Pradesh",2021,1534
Firozabad,"Uttar Pradesh",2021,1562
Gadag,Karnataka,2021,1480
Ganjam,Odisha,2021,1718
Garhwa,Jharkhand,2021,1850
Gariaband,Chhattisgarh,2021,1433
"Gautam Buddha Nagar","Uttar Pradesh",2021,1854
Ghaziabad,"Uttar Pradesh",2021,1850
Gonda,"Uttar Pradesh",2021,1659
Gorakhpur,"Uttar Pradesh",2021,1733
Gulbarga,Karnataka,2021,1580
Guna,"Madhya Pradesh",2021,1380
Harda,"Madhya Pradesh",2021,1372
Hardoi,"Uttar Pradesh",2021,1564
Hassan,Karnataka,2021,1538
Hathras,"Uttar Pradesh",2021,1493
Haveri,Karnataka,2021,1563
Hoshangabad,"Madhya Pradesh",2021,1339
Hoshiarpur,Punjab,2021,1100
Indore,"Madhya Pradesh",2021,1437
Jabalpur,"Madhya Pradesh",2021,1408
Jaipur,Rajasthan,2021,1765
Jalandhar,Punjab,2021,1600
Jalgaon,Maharashtra,2021,1482
Jalna,Maharashtra,2021,1478
Jamnagar,Gujarat,2021,3439
"Janjgir Champa",Chhattisgarh,2021,1275
Jashpur,Chhattisgarh,2021,1730
Jaunpur,"Uttar Pradesh",2021,1789
Jhabua,"Madhya Pradesh",2021,1591
Jhalawar,Rajasthan,2021,1401
Jodhpur,Rajasthan,2021,1557
Junagadh,Gujarat,2021,1553
Kabirdham,Chhattisgarh,2021,1492
Kanker,Chhattisgarh,2021,1269
Kannauj,"Uttar Pradesh",2021,1508
"Kanpur Nagar","Uttar Pradesh",2021,1602
Kapurthala,Punjab,2021,1625
Karimnagar,Telangana,2021,1673
Katni,"Madhya Pradesh",2021,1356
Khammam,Telangana,2021,1712
Khandwa,"Madhya Pradesh",2021,1391
Khargone,"Madhya Pradesh",2021,1386
Kolar,Karnataka,2021,1871
Kondagaon,Chhattisgarh,2021,1335
Koppal,Karnataka,2021,1492
Koraput,Odisha,2021,1709
Korba,Chhattisgarh,2021,1679
Koriya,Chhattisgarh,2021,1840
Kota,Rajasthan,2021,1504
Kurnool,"Andhra Pradesh",2021,1722
Kurukshetra,Haryana,2021,1410
Lakhimpur,Assam,2021,1552
Lalitpur,"Uttar Pradesh",2021,1673
Latur,Maharashtra,2021,1912
Lohardaga,Jharkhand,2021,1700
Longleng,Nagaland,2021,2992
Lucknow,"Uttar Pradesh",2021,1589
Ludhiana,Punjab,2021,1509
Mahasamund,Chhattisgarh,2021,1809
Mahbubnagar,Telangana,2021,1690
Mainpuri,"Uttar Pradesh",2021,1590
Mandla,"Madhya Pradesh",2021,1469
